id,title,responsible,description,publication_date,type,links,languages,status,relevant_parts_of_ric,prospects,contact,related_to
1,Déploiement de la norme Records in Contexts pour la gestion des collections de la Fondation SAPA [fr] | Deployment of the Records in Contexts Standard for the Management of Collections at the SAPA Foundation [en],Baptiste de Coulon,"La Fondation SAPA, Archives suisses des arts de la scène, a migré en 2021 les métadonnées sur ses collections en RDF en suivant pour cela les recommandations du nouveau standard Records in Contexts. Cette migration a coïncidé avec la mise en ligne d’un nouveau portail de ses collections basé sur les principes des données ouvertes liées (Linked Open Data). Après deux ans d’implémentation, la Fondation a souhaité tirer un premier bilan afin que son expérience puisse servir aux institutions qui souhaiteraient suivre le même chemin. [fr] | The Swiss Archives of the Performing Arts (SAPA Foundation) migrated the metadata of its collections to RDF in 2021, following the recommendations of the new Records in Contexts standard. This migration coincided with the launch of a new portal for its collections based on Linked Open Data principles. After two years of implementation, the Foundation wanted to assess its experience in order to benefit institutions considering a similar path. [en]",2024-02-29,article,[Article](https://oap.unige.ch/journals/ressi/article/view/1511/1412) [fr] | [Article](https://oap.unige.ch/journals/ressi/article/view/1511/1413) [en],French | English,,RiC-O 0.2,,,
2,RiC-O Converter: A Software to Convert EAC-CPF and EAD 2002 XML Files to RDF Datasets Conforming to Records in Contexts Ontology,Florence Clavaud | Thomas Francart | Pauline Charbonnier,"RiC-O Converter is an open source command-line tool to convert EAD finding aids and EAC-CPF authority records to RDF files conforming to ICA Records in Contexts ontology (RiC-O) in a robust manner. It was developed for the Archives nationales of France but is aimed to be reused by other archival institutions, and to this aim is fully documented in English. It is based on XSLT stylesheets that consider the variability of EAD content. It enabled the Archives nationales of France to convert 15,400 EAC-CPF files and 31,000 EAD files into a homogeneous knowledge graph, and to start a more specific project aiming to provide end users with an intuitive search interface for a significant subset of this graph, opening new perspectives for navigating and linking from/to archival metadata. This article is part of the Journal on Computing and Cultural Heritage (JOCCH), vol. 16, issue 3. A previous, shorter, and freely accessible version of this article is available at https://ceur-ws.org/Vol-3019/LinkedArchives_2021_paper_13.pdf.",2023-08,article,https://doi.org/10.1145/3583592,English,,RiC-O 0.2,,le-lab.archives-nationales@culture.gouv.fr | florence.clavaud@culture.gouv.fr,#5
3,Extending RiC-O to Model Historical Architectural Archives: The ITDT Ontology,Daria Mikhaylova | Daniele Mettili,"Historical architectural archives enjoy attention from diverse audiences, acting as a primary source of information for architects, historians, public authorities, and common citizens alike. In Italy, the interest in architectural archives has grown slowly but steadily for the last 20 years. However, architectural archives do not generally follow the trend common for museums and galleries in publishing digitized materials and providing standard metadata for individual records. The information that is available online usually includes only an archival finding aid, instead of metadata about the individual records, or fully digital versions of the records. While cataloguing standards for archival descriptions of architectural records have existed at least since the 1980s, the rise of Linked Open Data as a framework for publishing cultural heritage data has allowed archivists to enhance these archival descriptions with richer contextual information and links to external knowledge bases. In this paper we present the ITDT ontology, an extension of the Records in Contexts Ontology that facilitates the representation of architectural records and of the context related to architectural projects, its process, and participating entities. We discuss the application of the ontology to the project files of Italian architect and engineer Dino Tamburini (1924–2011), and the creation of a digital archive offering multiple perspectives over the records. This article is part of the Journal on Computing and Cultural Heritage (JOCCH), vol. 16, issue 4.",2023-08,article,https://doi.org/10.1145/3606706,English,,RiC-O 0.2,,,
4,The Archives nationales de France authority records and vocabularies,The Lab at the Archives nationales de France,"A RDF/RiC-O version (and also CSV one) of the about 16000 authority records on archival creators, 60 000 records about places, and 20 authoritative lists and controlled vocabularies produced and used by the AnF. ",2022-06 [version 1.1],dataset,https://github.com/ArchivesNationalesFR/Referentiels,French,Ongoing work,"RiC-O 0.2, RiC-O 1.1","New release to be published before March 2025, conforming to RiC-0 1.1 and including a lot of enrichments.",le-lab.archives-nationales@culture.gouv.fr | florence.clavaud@culture.gouv.fr,
5,RiC-O Converter,Sparna company (France) | The Lab at the Archives nationales de France ,"A powerful, reliable, easy to install and adaptable, open source tool to convert EAD 2002 and EAC-CPF files to RDF/RiC-O knowledge graphs. Developed by Sparna and the Archives nationales de France. Fully documented in French and English. Includes mappings from EAD 2002 and EAC-CPF to RiC-O 0.2",2025-01 [version 3.0] | 2023-10 [version 2.0] | 2020-04 [version 1.0],tool,https://github.com/ArchivesNationalesFR/rico-converter,English | French,,RiC-O 0.2,"Version 3, conforming to RiC-O 1.1, to be released in 2025, along with some SHACL validation rules. Version 4 (end of 2025) should enable to convert XML/SEDA files.",le-lab.archives-nationales@culture.gouv.fr | florence.clavaud@culture.gouv.fr,#2
6,docuteam context,docuteam (https://www.docuteam.ch/en/),Archival Information System (AIS) built upon Records in Contexts.,2024-05 [version 1.5] | 2023-10 [version 1.0],web application,[Software description](https://www.docuteam.ch/en/software-fur-archive/#docuteam-context),English | French | German,in production,RiC-CM 0.2,RiC-O 1.0 should be supported later this year (2024).,info@docuteam.ch | j.krause@docuteam.ch,
7,docuteam box,docuteam (https://www.docuteam.ch/en/),"Digital Preservation System (DPS) whose metadata is mainly based on RiC-O and PREMIS, structured according to a schema called [Matterhorn RDF](https://docs.docuteam.ch/introduction/matterhornrdf/).",2024-05 [version 2.2] | 2023-07 [version 1],web application,[Software description](https://www.docuteam.ch/en/box/),English | French | German,in production,RiC-O 0.2,RiC-O 1.0 should be supported later this year (2024).,info@docuteam.ch | j.krause@docuteam.ch,
8,ICA Records in Contexts-Ontology (RiC-O): a Semantic Framework for Describing Archival Resources,Florence Clavaud | Tobias Wildi,"An overview of the new Records in Contexts Ontology (RiC-O), as a part of the Records in Contexts (RiC) standard, which has been developed by the International Council on Archives to describe and contextualize archival resources in a comprehensible way that goes beyond the possibilities of the existing archival standards. The article explains the rationale for developing a new standard for archival description, and particularly the ontology. It provides a quick overview of the RiC Conceptual Model and then focuses on RiC-O, its design principles and content and giving references to more precise documentation that is publicly available online. Finally, it presents the roadmap and future perspectives of RiC. This article is part of the Proceedings of Linked Archives International Workshop 2021 co-located with the 25th International Conference on Theory and Practice of Digital Libraries: [TPDL 2021](https://ceur-ws.org/Vol-3019/).",2021-09,article,https://ceur-ws.org/Vol-3019/LinkedArchives_2021_paper_13.pdf,English,,RiC-O 0.2,,,
9,The ALEGORIA research project datasets,ALEGORIA project team,"Metadata of the about 70 000 photographs dealt with by the ALEGORIA research project, published as Linked Open Data, conforming to RiC-O 0.2. They describe the following photographic fonds: obliques aerial photographs (Institut géographique national);     Lapie (Archives nationales de France) ; Ministère de la Reconstruction et de l'Urbanisme (Archives nationales de France); ; fonds Combier (Musée Nicéphore Niépce, Chalons-sur-Saône, France). See also this article (in French): https://doi.org/10.4000/books.pan.3889.",2021,dataset,[Project page](https://www.alegoria-project.fr/en/Metadata)  | [SPARQL endpoint](http://data.alegoria-project.fr/sparql),French | English (documentation) ,,RiC-O 0.2,,,
10,International Study Day on early RiC implementations,Archives nationales de France | ICA/EGAD,"The first event organized by EGAD just after the release of RiC-CM and RiC-O 1.0 beta, dedicated to early implementations of RiC.",2023-11-15,"event",[Program and slides](https://drive.google.com/drive/folders/1zywJxTuccDjSX-QUrYc4deACs_BTw9z8?usp=sharing) | [Video recording](https://www.dailymotion.com/playlist/x86ajs),English | French,,RiC-CM 1.0 | RiC-O 1.0,,le-lab.archives-nationales@culture.gouv.fr | florence.clavaud@culture.gouv.fr,
